"sample_id","series","title","characteristics","day_estimate","condition"
"GSM3767957","GSE131236","Sample 1_I025","cell line source: iPSC line 1 | cell type: iPSC-cardiomyocytes (iPSC-CMs) | culture period: Day 30",30,"Maturing"
"GSM3767958","GSE131236","Sample 2_I026","cell line source: iPSC line 2 | cell type: iPSC-cardiomyocytes (iPSC-CMs) | culture period: Day 30",30,"Maturing"
"GSM3767959","GSE131236","Sample 3_I027","cell line source: iPSC line 1 | cell type: iPSC-cardiomyocytes (iPSC-CMs) | culture period: Day 90",90,"Maturing"
"GSM3767960","GSE131236","Sample 4_I028","cell line source: iPSC line 2 | cell type: iPSC-cardiomyocytes (iPSC-CMs) | culture period: Day 90",90,"Maturing"
"GSM3273196","GSE117192","H20682_A","cell line: H20682,Sex: Female,population: Caucasian,treatment: normoxia",60,"Maturing"
"GSM3273197","GSE117192","H20682_B","cell line: H20682,Sex: Female,population: Caucasian,treatment: hypoxia",60,"Maturing"
"GSM3273198","GSE117192","H20682_C","cell line: H20682,Sex: Female,population: Caucasian,treatment: re-oxygenation1",60,"Maturing"
"GSM3273199","GSE117192","H20682_D","cell line: H20682,Sex: Female,population: Caucasian,treatment: re-oxygenation2",60,"Maturing"
"GSM3273200","GSE117192","H20961_A","cell line: H20961,Sex: Male,population: Caucasian,treatment: normoxia",60,"Maturing"
"GSM3273201","GSE117192","H20961_B","cell line: H20961,Sex: Male,population: Caucasian,treatment: hypoxia",60,"Maturing"
"GSM3273202","GSE117192","H20961_C","cell line: H20961,Sex: Male,population: Caucasian,treatment: re-oxygenation1",60,"Maturing"
"GSM3273203","GSE117192","H20961_D","cell line: H20961,Sex: Male,population: Caucasian,treatment: re-oxygenation2",60,"Maturing"
"GSM3273204","GSE117192","H21792_A","cell line: H21792,Sex: Female,population: Caucasian,treatment: normoxia",60,"Maturing"
"GSM3273205","GSE117192","H21792_B","cell line: H21792,Sex: Female,population: Caucasian,treatment: hypoxia",60,"Maturing"
"GSM3273206","GSE117192","H21792_C","cell line: H21792,Sex: Female,population: Caucasian,treatment: re-oxygenation1",60,"Maturing"
"GSM3273207","GSE117192","H21792_D","cell line: H21792,Sex: Female,population: Caucasian,treatment: re-oxygenation2",60,"Maturing"
"GSM3273208","GSE117192","H21792R_A","cell line: H21792,Sex: Female,population: Caucasian,treatment: normoxia",60,"Maturing"
"GSM3273209","GSE117192","H21792R_B","cell line: H21792,Sex: Female,population: Caucasian,treatment: hypoxia",60,"Maturing"
"GSM3273210","GSE117192","H21792R_C","cell line: H21792,Sex: Female,population: Caucasian,treatment: re-oxygenation1",60,"Maturing"
"GSM3273211","GSE117192","H21792R_D","cell line: H21792,Sex: Female,population: Caucasian,treatment: re-oxygenation2",60,"Maturing"
"GSM3273212","GSE117192","H22422_A","cell line: H22422,Sex: Female,population: Caucasian,treatment: normoxia",60,"Maturing"
"GSM3273213","GSE117192","H22422_B","cell line: H22422,Sex: Female,population: Caucasian,treatment: hypoxia",60,"Maturing"
"GSM3273214","GSE117192","H22422_C","cell line: H22422,Sex: Female,population: Caucasian,treatment: re-oxygenation1",60,"Maturing"
"GSM3273215","GSE117192","H22422_D","cell line: H22422,Sex: Female,population: Caucasian,treatment: re-oxygenation2",60,"Maturing"
"GSM3273216","GSE117192","H24280_A","cell line: H24280,Sex: Female,population: Caucasian,treatment: normoxia",60,"Maturing"
"GSM3273217","GSE117192","H24280_B","cell line: H24280,Sex: Female,population: Caucasian,treatment: hypoxia",60,"Maturing"
"GSM3273218","GSE117192","H24280_C","cell line: H24280,Sex: Female,population: Caucasian,treatment: re-oxygenation1",60,"Maturing"
"GSM3273219","GSE117192","H24280_D","cell line: H24280,Sex: Female,population: Caucasian,treatment: re-oxygenation2",60,"Maturing"
"GSM3273220","GSE117192","H25237_A","cell line: H25237,Sex: Female,population: Caucasian,treatment: normoxia",60,"Maturing"
"GSM3273221","GSE117192","H25237_B","cell line: H25237,Sex: Female,population: Caucasian,treatment: hypoxia",60,"Maturing"
"GSM3273222","GSE117192","H25237_C","cell line: H25237,Sex: Female,population: Caucasian,treatment: re-oxygenation1",60,"Maturing"
"GSM3273223","GSE117192","H25237_D","cell line: H25237,Sex: Female,population: Caucasian,treatment: re-oxygenation2",60,"Maturing"
"GSM3273224","GSE117192","H25237R_A","cell line: H25237,Sex: Female,population: Caucasian,treatment: normoxia",60,"Maturing"
"GSM3273225","GSE117192","H25237R_B","cell line: H25237,Sex: Female,population: Caucasian,treatment: hypoxia",60,"Maturing"
