gene_id,SRR9057278,SRR9057279,SRR9057280,SRR9057281
ENSG00000000003,872.8467683777989,605.9180333693996,274.1371432475338,637.5943411568353
ENSG00000000005,2,108,195,23
ENSG00000000419,1347.7439978027694,1462.9444656655967,1335.8454456058232,1218.9930242668743
ENSG00000000457,195,213.00000000000003,186,154
ENSG00000000460,90.00004186752457,97.0000323657106,60.99999999999999,53.00000000000001
ENSG00000000938,1,3,0,0
ENSG00000000971,0,41,246,21.054153830402747
ENSG00000001036,411,408,363,179
ENSG00000001084,237.4303513378864,150.0031026802661,176.00047521397565,207.01987804105232
ENSG00000001167,438,328.99999999999994,306,282
ENSG00000001460,196.5485733101731,150.80868096471394,160.00061874692253,176.4020456319786
ENSG00000001461,520,448.34716621176716,681,425.00453134333185
ENSG00000001497,691,320.0003442867892,409,395.0005473285171
ENSG00000001561,307,405,590,386
ENSG00000001617,117,142,158,51
ENSG00000001626,12,3,1,5
ENSG00000001629,408,744,683,501
ENSG00000001630,362.5190725324267,580.2913639408615,599.6318149398644,266.7652117333622
ENSG00000001631,15.51202096440073,12.346854286764273,12.235302767428847,9.601955038154255
ENSG00000002016,338,223,161,272
ENSG00000002079,0,4.000172963081027,0,0
ENSG00000002330,776,631,782,540.7711318940882
ENSG00000002549,784.0000000000001,434,550.9999999999999,512.9939990071535
ENSG00000002586,2383.0000000000005,1653,1610,1468.0000000000005
ENSG00000002587,4.088081808770312,15.031045865384536,4.023188481325711,4.000013825157859
ENSG00000002726,0,3.000104989280232,2.000017394410649,1.0000344038458695
ENSG00000002745,1,4,3,1
ENSG00000002746,1,2.0002459018644108,1,1.3046141363114174
ENSG00000002822,360,303,296,199
ENSG00000002834,1009,2181.9370588177594,2497.043406930598,1101.9999999999998
ENSG00000002919,174,179,166,177
ENSG00000002933,12,99,91,37
ENSG00000003056,565,625.9999999999999,708,566
ENSG00000003096,24,270,76,30
ENSG00000003137,10,190,114.99999999999999,16
ENSG00000003147,798,557,497.99999999999994,781
ENSG00000003249,363.00168347778845,264,188,138
ENSG00000003393,767.3854529809784,505.3204808614849,701.540914365449,638.4258672397599
ENSG00000003400,7.059347958854394,44,13,29
ENSG00000003402,345.19335666490883,617.1129950935425,142.97975928336132,319.5465365182847
ENSG00000003436,360,397.15639875551943,231,283
ENSG00000003509,404.37302333877625,356,239.04586056015373,380.1442994779891
ENSG00000003756,1708.9999999999998,1369.0104424958522,813,1517
ENSG00000003987,17,9,17,20
ENSG00000003989,298,166,96,284
ENSG00000004059,2655,2239.9999999999995,2790,1732
ENSG00000004139,50,60.46066407539775,144.00010116136426,61.003404251719125
ENSG00000004142,1058,886,857,750
ENSG00000004399,384,387.99999999999994,56,234
ENSG00000004455,1451.9821833851222,1110.9744995244782,923,1370.9071972866436
ENSG00000004468,2.002271102153913,5.028287044675522,8.759918947123126,2.300792623242266
ENSG00000004478,2794.3602162565458,2467.9004835595733,1799.71849892395,1747.9608374590202
ENSG00000004487,259.07905154406626,245.22088870827315,112,279.28963393397765
ENSG00000004534,783.67069892844,746.0373188793042,447.6705352967899,977.7501001854745
ENSG00000004660,159.0006880836645,99.003375650856,131.00017241628666,121.00135217521994
ENSG00000004700,93,178,109.00000000000001,115
ENSG00000004766,135.02772496906456,208,163,154
ENSG00000004776,211,798,575,240
ENSG00000004777,327,179,146,126
ENSG00000004779,1973,1459.9351444777026,1832.9363253514134,1777.0000000000002
ENSG00000004799,80,332,342,65
ENSG00000004809,0,1,0,0
ENSG00000004838,5,33,14,14
ENSG00000004846,1,0,0,1
ENSG00000004848,0,3,2,0
ENSG00000004864,169,191,104,141
ENSG00000004866,812,725,692,653
ENSG00000004897,1640.9374203282894,1570.830733497443,1073.6965692774413,1281.9975011134554
ENSG00000004939,1.0128743446092001,0,0,0
ENSG00000004948,0,0,0,1
ENSG00000004961,370.00000000000006,570,559,760
ENSG00000004975,261.0610051820112,209.0480147370998,128,145.0482422223362
ENSG00000005001,7,0,1,4
ENSG00000005007,422,463,274,385
ENSG00000005020,65,52,201.00000000000003,54
ENSG00000005022,9653.94557773201,5500.946367875252,4030.9802663387095,8319.356146471851
ENSG00000005059,44,128,101,21
ENSG00000005073,0,0,0,0
ENSG00000005075,795.8234231635126,794.2670351909481,838.1140046992631,541.7836438614224
ENSG00000005100,294.00793384494017,250,118,216
ENSG00000005102,1,7,4,0
ENSG00000005108,223,87,84,113
ENSG00000005156,426.00000000000006,349.99999999999994,204,350
ENSG00000005175,529,537,360.99999999999994,441
ENSG00000005187,10.999999999999998,9,8,7
ENSG00000005189,228,104,107,165
ENSG00000005194,808.9999999999999,731,619.9961681119369,724
ENSG00000005206,1193.0000220078016,697.9999999999999,554,756.4629578256297
ENSG00000005238,105,53,134,87
ENSG00000005243,32,52,138,30
ENSG00000005249,836.0008203105303,421,583.0010669530792,612
ENSG00000005302,339,447,240,394
ENSG00000005339,524.076720231782,630.2973600543055,604.0000000000001,374
ENSG00000005379,285,107,69,157
ENSG00000005381,0,1,0,0
ENSG00000005421,3,3,0,0
ENSG00000005436,108,170.00336544100549,61,109.0004261257954
ENSG00000005448,467,392.3941610223146,97.00000000000001,322
ENSG00000005469,62,109,103.00000000000001,104
ENSG00000005471,100,46,33,38
ENSG00000005483,1801.5769187974738,1309.0032004976176,1346.749090915309,1507.9425201606914
ENSG00000005486,870.0000000000001,475,674.9999999999999,858
ENSG00000005513,39,39.279002110116444,5,27
ENSG00000005700,433,424,358.99999999999994,426
ENSG00000005801,52.697927277769665,95.32979250200756,40.267717486646006,36.1716383494899
ENSG00000005810,222,299,275,200.00032766961013
ENSG00000005812,213,300,320,203
ENSG00000005844,3.472508217553076,3,0,2.5822519112066327
ENSG00000005882,2026.0000000000002,795,2424.9999999999995,1439
ENSG00000005884,410,423,1525.1084214096284,376.21435913190703
ENSG00000005889,420.6107021058497,951.0578360345086,787.4259690644539,719.0569553946602
ENSG00000005893,1990.401736516625,3046.8279852452706,2737.5100170678215,2630.839827635976
ENSG00000005961,40,35,5,20
ENSG00000005981,0,57,5,3
ENSG00000006007,607,684,651,544
ENSG00000006015,165.39038773461866,123.80729118818518,126.61027363710369,113.18863967453751
ENSG00000006016,3,321.4384675769044,2,9
ENSG00000006025,82,26,46,63
ENSG00000006042,1860.806752505167,947.091606647636,1371.9122425073465,1215.9112392742384
ENSG00000006047,331.99999999999994,144,68,240.99999999999997
ENSG00000006059,0,1,0,1
ENSG00000006062,46,99.99999999999999,112,44
ENSG00000006071,1,1,14,2.0119501940577402
ENSG00000006116,1,1,0,2
ENSG00000006118,884,615,1046,616
ENSG00000006125,2491.9940586667,1750,2047.0000000000002,2393
ENSG00000006128,2.9999999999999996,71,0,20
ENSG00000006194,41,46,14,35
ENSG00000006210,33,268.1812153016666,22.000000000000004,12.865044875983312
ENSG00000006282,437.99999999999994,326.99999999999994,340,360.00000000000006
ENSG00000006283,5,2,2,4
ENSG00000006327,625,641,1383,604
ENSG00000006377,7,33,0,0
ENSG00000006432,216,139,276,94
ENSG00000006451,21,38,18,29
ENSG00000006453,751.8904188880706,60.905713770696046,218.00221639160785,314.3296034387527
ENSG00000006459,348,470.99999999999994,238,318
ENSG00000006468,960.0000000000003,463,452,441.00000000000006
ENSG00000006530,6,5,2,5
ENSG00000006534,5.073462617510614,14.575069383741647,32,4.206623570570237
ENSG00000006555,1,3.168612837045645,1,0
ENSG00000006576,821,923,853,601
ENSG00000006606,2,8,3,3
ENSG00000006607,147,104.04441902386652,56,83.04882748699619
ENSG00000006611,1,1,5,0
ENSG00000006625,792,693,596,460
ENSG00000006634,324.4342408967639,230,51,172
ENSG00000006638,12.063313706648442,32.44074876406693,3.0013461648700575,4.008544168440811
ENSG00000006652,1,3,0,4
ENSG00000006659,0,0,0,1
ENSG00000006695,895.0269454268802,757.019650612017,752,875.0000038266163
ENSG00000006704,624.0596250726983,339.3024129938574,413.0002868395031,434.0428654740425
ENSG00000006712,1115,936,1078,688
ENSG00000006715,910.0373601169865,639.0150894724923,585.0001522188147,640.1203788727088
ENSG00000006740,307,278,166,192.99999999999997
ENSG00000006744,955,840,493,662
ENSG00000006747,33.0162436393049,25.017616554703714,41,24
ENSG00000006756,82.9820772529474,118.60054282475073,90.77975460589975,102.44368217075511
ENSG00000006757,110,99,41,201
ENSG00000006788,0,0,0,2
ENSG00000006831,877,610,580,427
ENSG00000006837,0,0,0,0
ENSG00000007001,0,1,0,1
ENSG00000007038,0,1,0,0
ENSG00000007047,1306.0003355875986,739.1146524964826,568,965.8654786023286
ENSG00000007062,197,95.27753422387401,109,110
ENSG00000007080,1312,1281,900,938
ENSG00000007129,9,10,0,9
ENSG00000007168,993.9452985271087,922.7024773962213,813.2828627282208,982.2450909825137
ENSG00000007171,0,0,0,0
ENSG00000007174,0,35,0,2
ENSG00000007202,666.9999999999999,614,375.99999999999994,478
ENSG00000007216,0,0,0,0
ENSG00000007237,473.01115671083664,812,1221,350.00066254850873
ENSG00000007255,780.9999999999999,346,262,704
ENSG00000007264,20,96.00213484771925,10,15
ENSG00000007306,0,1,0,0
ENSG00000007312,1,3,0,3
ENSG00000007314,16,7,0,7
ENSG00000007341,30.98737698790525,13.040370158880716,14.975133861822886,30.899298763411693
ENSG00000007350,0,0.9999999999999999,0,0
ENSG00000007372,0.9999999999999999,20,0,3
ENSG00000007376,78,50,42,43
ENSG00000007384,160,162,133,135.99999999999997
ENSG00000007392,2073,1664,1211,1663.0000000000002
ENSG00000007402,591,219,115,121
ENSG00000007516,1,7.000000000000001,6,10
ENSG00000007520,1076,822,855,716
ENSG00000007541,747.983306181656,399.1610995456433,424.9690428154283,387.99999999999994
ENSG00000007545,240.35401103232394,138.26924464456812,129.7180585294869,86.62545367975277
ENSG00000007866,2848.0000000000005,1177.5761667589904,1160.1475342905505,1557.851519164571
ENSG00000007908,6,7,0,4
ENSG00000007923,1470,1028.9329128057818,1026,924.3680670122504
ENSG00000007933,0,4,0,1
ENSG00000007944,62,84,50,66
ENSG00000007952,7.000000000000001,2,13,11
ENSG00000007968,26,39.04267204966119,4,12.000181543311218
ENSG00000008018,2076,1684,1732,2148
ENSG00000008056,10,5,17,10
ENSG00000008083,806,704,210,404
ENSG00000008086,2.0030575861876403,1.02605352077529,0,3.1234774976025097
ENSG00000008118,68,13,2,11
ENSG00000008128,251.58648466706876,248.31945700254624,180.5079926011894,217.00236224957584
ENSG00000008130,2,55,0,1
ENSG00000008196,2,0,0,1
ENSG00000008197,0,0,0,0
ENSG00000008226,2.3191844034008433,4.153419344748216,0,2.014083435305219
ENSG00000008256,234,265,286,250
ENSG00000008277,122,78,33,63.99999999999999
ENSG00000008282,861,907.9999999999998,766.8165236132656,806.9999999999999
ENSG00000008283,14.098447598234728,12.141469028600753,14.101197053866008,14.196338707121395
ENSG00000008294,855.0007837583503,1517.0000037856926,989.0421080138642,1018
ENSG00000008300,61,50,19,31
ENSG00000008311,175.06100732393978,88.40603127120252,97.90494046470964,145.0100518651011
ENSG00000008323,5,0.9999999999999999,3.004817329617597,1
ENSG00000008324,216,144.01674648713797,112,130
ENSG00000008382,148,86,86,91
ENSG00000008394,1332.0002899701371,402.00000000000006,215,458
ENSG00000008405,163,221,115,147
ENSG00000008438,0,0,0,0
ENSG00000008441,3,166.9858299617331,345.97001898304114,18.000000000000004
ENSG00000008513,295.0005139275779,315.19831134992995,516,229
ENSG00000008516,24.650215784706404,15.75748150288301,6,15
ENSG00000008517,240,558.058444223559,101,51.99999999999999
ENSG00000008710,768.4219947988488,649.3502138314595,461.9980889703516,538.2797554853722
ENSG00000008735,9.269104840660411,50.35626041433183,53.403488497436136,15.012242766681359
ENSG00000008838,1226.0000000000002,695,698,673.0024134142209
ENSG00000008853,1079,570,771,966
ENSG00000008869,635,413,442,473
ENSG00000008952,1337,1526.101858378286,1738.0189034555287,1270.1401752019303
ENSG00000008988,9392.35035533073,8632.663495249873,6236.772780617276,8136.189667983329
ENSG00000009307,4413.98074585203,2472.4286528896264,2477,3218
ENSG00000009335,317.00736931575335,384,358,311.0266631854324
ENSG00000009413,789,701.0000000000001,435,689.0000000000001
ENSG00000009694,18,190,47.99999999999999,46
ENSG00000009709,0,0,0,0
ENSG00000009724,0,1,0,1
ENSG00000009765,0,0,1.0123527551941167,0
ENSG00000009780,167,166.06965900216218,115,176.9760271862533
ENSG00000009790,0,1,0,0
ENSG00000009830,367.04678611274875,196,205.99999999999997,249.00269710289825
ENSG00000009844,405.6850513889207,574.4070760419435,375.2419387191184,391.9398200400705
ENSG00000009950,20.804363840215984,5,8,8.806717332963698
ENSG00000009954,432.00000000000006,561,323,266
ENSG00000010017,730,456,469,627
ENSG00000010030,0,0,0,3
ENSG00000010072,129,234,194.99999999999997,213
ENSG00000010165,170,156,90,153
ENSG00000010219,31,7,0,18
ENSG00000010244,2063.0744963386096,1610.3406570212805,1264,1669.6748234343563
ENSG00000010256,936.6868021019816,397.99999999999994,431,694.0970654746184
ENSG00000010270,742,662,429,576
ENSG00000010278,297,331,630.0000000000001,226
ENSG00000010282,186.95643718658252,163.32598436350762,676.90458729695,204.9222027252524
ENSG00000010292,1811.9999999999998,1474.0436142610852,544,879
ENSG00000010295,323,284.0261813619106,227.99999999999997,277
ENSG00000010310,543.0483358020699,113.03837994395386,101.55304145419346,266.1113713064741
ENSG00000010318,4,7,2,2
ENSG00000010319,68,52,43,83
ENSG00000010322,1067.0031218433448,877.0504764042528,793.0115843227201,895.0049681015713
ENSG00000010327,13,27,2,0
ENSG00000010361,429,353,178.99999999999997,298.00000000000006
ENSG00000010379,17,29,37,21
ENSG00000010404,1132.8483679561573,640.1171597633107,1044.1010968320086,958
ENSG00000010438,0,1,6,0
ENSG00000010539,91.00000000000001,107.61614328177282,51.07277609595497,58.99999999999999
ENSG00000010610,2,4,1.0014489612869026,5
ENSG00000010626,129,125,76,192.00000000000006
ENSG00000010671,9.315191905038967,9.616959021653054,1,6.3487054240742715
ENSG00000010704,10,9,7.000000000000001,4.549047533158114
ENSG00000010803,1352,595,1069.0000000000002,1011.9999999999999
ENSG00000010810,34,139,230,16
ENSG00000010818,94,128,62,100
ENSG00000010932,2,2,9,1
ENSG00000011007,732,625,878.0000000000001,594
ENSG00000011009,926.9492354708575,743.7999448491242,908.9294404655382,612.9594834927635
ENSG00000011021,660.3406970274893,278.46252436486793,499.5858078284848,377.79038377497204
ENSG00000011028,1407,774,448.00000000000006,1268
ENSG00000011052,0,0,0,0
ENSG00000011083,0,1,0,0
ENSG00000011105,1372,888,1648,1037
ENSG00000011114,638.0100701775799,562.6092988001182,584,497.99999999999994
ENSG00000011132,306.00212445659577,278,135,225
ENSG00000011143,183,168,80,176
ENSG00000011198,171,350,536,230
ENSG00000011201,319,476,430,408
ENSG00000011243,1699,1075,872.9999999999999,1109.9999999999998
ENSG00000011258,564.0041934411629,496.00000000000006,227,372
ENSG00000011260,172,357,213,176.97823761072002
ENSG00000011275,1683,1489.7678378878443,1347,1350.4897477480572
ENSG00000011295,645.8146779425969,523.2156188363341,362.2286946797744,568.7575375534404
ENSG00000011304,1301.9999999999998,1718.0000000000002,1001.9999999999999,690
ENSG00000011332,64,34,24,25
ENSG00000011347,970,135.99999999999997,131,328
ENSG00000011376,482,385,234.00000000000003,283.00000000000006
