	GSM8102175	GSM8102176
ENSG00000000003	1138	855
ENSG00000000005	324	20
ENSG00000000419	2458	2519
ENSG00000000457	1661	961
ENSG00000000938	74	916
ENSG00000000971	1324	3547
ENSG00000001036	1762	3668
ENSG00000001084	1929	2913
ENSG00000001167	3317	2104
ENSG00000001460	720	905
ENSG00000001461	3038	5185
ENSG00000001497	3421	2122
ENSG00000001561	555	2615
ENSG00000001617	2722	2825
ENSG00000001626	187	151
ENSG00000001629	12572	4410
ENSG00000001630	5318	3333
ENSG00000001631	10997	3285
ENSG00000002016	1913	1004
ENSG00000002079	172	35
ENSG00000002330	804	2404
ENSG00000002549	1969	4548
ENSG00000002586	6973	21658
ENSG00000002587	202	398
ENSG00000002726	29	99
ENSG00000002745	12	7
ENSG00000002746	202	52
ENSG00000002822	1006	1655
ENSG00000002834	9361	9673
ENSG00000002919	540	1238
ENSG00000002933	746	2523
ENSG00000003056	2923	8642
ENSG00000003096	1651	1112
ENSG00000003137	969	1123
ENSG00000003147	1396	4238
ENSG00000003249	172	782
ENSG00000003393	8360	8361
ENSG00000003400	742	2458
ENSG00000003402	21095	32290
ENSG00000003436	3670	4110
ENSG00000003509	1807	1388
ENSG00000003756	14207	8044
ENSG00000003987	449	117
ENSG00000003989	515	8111
ENSG00000004059	2311	4576
ENSG00000004139	2017	2878
ENSG00000004142	3612	15165
ENSG00000004399	10320	15880
ENSG00000004455	8309	10174
ENSG00000004468	300	1051
ENSG00000004478	5306	7566
ENSG00000004487	11428	5869
ENSG00000004534	8470	4680
ENSG00000004660	1152	714
ENSG00000004700	1972	1104
ENSG00000004766	2428	1322
ENSG00000004776	2883	131230
ENSG00000004777	1801	500
ENSG00000004779	1898	13433
ENSG00000004799	4940	268428
ENSG00000004809	103	63
ENSG00000004838	112	30
ENSG00000004846	38	37
ENSG00000004848	23	7
ENSG00000004864	1102	1343
ENSG00000004866	1599	3645
ENSG00000004897	7458	5989
ENSG00000004939	1151	181
ENSG00000004948	0	7
ENSG00000004961	924	4404
ENSG00000004975	4283	2332
ENSG00000005001	0	1
ENSG00000005007	6951	9933
ENSG00000005020	4345	989
ENSG00000005022	5674	8504
ENSG00000005059	1106	758
ENSG00000005073	10	3
ENSG00000005075	560	2189
ENSG00000005100	3102	1771
ENSG00000005102	1039	2801
ENSG00000005108	679	316
ENSG00000005156	5764	5255
ENSG00000005175	1909	685
ENSG00000005187	2819	1023
ENSG00000005189	544	357
ENSG00000005194	1486	3026
ENSG00000005206	3031	2902
ENSG00000005243	291	1850
ENSG00000005249	1198	4756
ENSG00000005302	1647	1139
ENSG00000005339	20547	19605
ENSG00000005379	898	2036
ENSG00000005381	29	43
ENSG00000005421	17	36
ENSG00000005436	4331	1468
ENSG00000005448	572	274
ENSG00000005469	984	617
ENSG00000005471	432	819
ENSG00000005483	14576	8427
ENSG00000005486	947	3778
ENSG00000005513	2419	499
ENSG00000005700	6124	4752
ENSG00000005801	2839	1422
ENSG00000005810	16301	10363
ENSG00000005812	3501	3917
ENSG00000005844	1021	898
ENSG00000005882	3057	22658
ENSG00000005884	1569	5520
ENSG00000005889	5279	3746
ENSG00000005893	4536	9131
ENSG00000005961	211	62
ENSG00000005981	679	716
ENSG00000006007	3006	10484
ENSG00000006015	1517	2974
ENSG00000006016	5910	3632
ENSG00000006025	797	611
ENSG00000006042	2958	1368
ENSG00000006047	1234	642
ENSG00000006059	0	0
ENSG00000006062	979	3675
ENSG00000006071	968	1097
ENSG00000006116	0	0
ENSG00000006118	6557	769
ENSG00000006125	13643	17623
ENSG00000006128	14	35
ENSG00000006194	2461	1769
ENSG00000006210	450	4196
ENSG00000006282	2371	6772
ENSG00000006283	9336	400
ENSG00000006327	1002	6250
ENSG00000006377	33	19
ENSG00000006432	207	955
ENSG00000006451	3088	2573
ENSG00000006453	509	769
ENSG00000006459	3923	2978
ENSG00000006468	4313	3630
ENSG00000006530	4913	4314
ENSG00000006534	585	1232
ENSG00000006555	85	117
ENSG00000006576	4415	2570
ENSG00000006606	1	8
ENSG00000006607	4172	4607
ENSG00000006611	92	75
ENSG00000006625	892	649
ENSG00000006634	1167	136
ENSG00000006638	553	790
ENSG00000006652	1803	3314
ENSG00000006659	122	31
ENSG00000006695	1870	9356
ENSG00000006704	2090	3490
ENSG00000006712	2161	3664
ENSG00000006715	5188	2576
ENSG00000006740	1727	2262
ENSG00000006744	4044	8784
ENSG00000006747	433	253
ENSG00000006756	2108	1879
ENSG00000006757	702	2057
ENSG00000006788	37	178
ENSG00000006831	3244	8432
ENSG00000006837	419	204
ENSG00000007001	113	23
ENSG00000007038	1134	16
ENSG00000007047	3411	5455
ENSG00000007062	597	511
ENSG00000007080	1250	3821
ENSG00000007129	13	48
ENSG00000007168	14499	20831
ENSG00000007171	81	96
ENSG00000007174	43	117
ENSG00000007216	0	1
ENSG00000007237	2723	25613
ENSG00000007255	416	375
ENSG00000007264	2031	144
ENSG00000007306	3	26
ENSG00000007312	451	465
ENSG00000007314	23	344
ENSG00000007341	2286	1940
ENSG00000007350	67	398
ENSG00000007372	291	107
