Ensembl_ID	GSM2343662	GSM2343702	GSM2343722	GSM2343865
ENSG00000000003	89	152	185	193
ENSG00000000005	2	0	0	14
ENSG00000000419	265	513	584	429
ENSG00000000457	172	246	220	280
ENSG00000000938	74	210	109	531
ENSG00000000971	428	963	2569	8082
ENSG00000001036	268	649	702	470
ENSG00000001084	404	676	487	500
ENSG00000001167	260	301	286	500
ENSG00000001460	73	87	65	129
ENSG00000001461	778	1533	1192	1348
ENSG00000001497	148	135	193	359
ENSG00000001561	825	993	1530	1364
ENSG00000001617	1246	426	185	546
ENSG00000001626	10	10	53	87
ENSG00000001629	594	1121	1173	1493
ENSG00000001630	316	566	715	765
ENSG00000001631	588	816	869	946
ENSG00000002016	78	116	122	195
ENSG00000002079	2	0	0	3
ENSG00000002330	440	769	575	923
ENSG00000002549	544	1068	860	710
ENSG00000002586	1526	2395	2263	2490
ENSG00000002587	58	75	212	564
ENSG00000002726	4	1	1	2
ENSG00000002745	0	3	5	4
ENSG00000002746	1	2	0	7
ENSG00000002822	323	290	240	574
ENSG00000002834	1343	1765	990	2139
ENSG00000002919	150	170	100	257
ENSG00000002933	287	285	468	1228
ENSG00000003056	880	1307	1249	2099
ENSG00000003096	113	276	181	226
ENSG00000003137	29	107	102	568
ENSG00000003147	640	672	728	1252
ENSG00000003249	188	80	49	132
ENSG00000003393	1351	1566	1535	2203
ENSG00000003400	193	253	138	378
ENSG00000003402	3749	4393	4930	6585
ENSG00000003436	662	1103	931	2080
ENSG00000003509	271	283	245	215
ENSG00000003756	770	1247	1238	1378
ENSG00000003987	24	40	78	108
ENSG00000003989	825	1618	969	2399
ENSG00000004059	812	905	611	1316
ENSG00000004139	229	332	276	422
ENSG00000004142	2439	3890	1813	2335
ENSG00000004399	2334	2611	1342	3731
ENSG00000004455	1203	1216	1017	1892
ENSG00000004468	147	460	192	219
ENSG00000004478	688	910	724	1204
ENSG00000004487	887	1156	976	1577
ENSG00000004534	531	649	692	1201
ENSG00000004660	44	117	89	130
ENSG00000004700	296	758	386	593
ENSG00000004766	271	516	452	379
ENSG00000004776	3993	2860	1068	1483
ENSG00000004777	12	27	24	27
ENSG00000004779	1233	3939	2693	2541
ENSG00000004799	78852	31846	8531	28974
ENSG00000004809	2	6	4	4
ENSG00000004838	3	7	3	9
ENSG00000004846	0	2	2	2
ENSG00000004848	0	0	0	0
ENSG00000004864	154	211	181	247
ENSG00000004866	415	599	513	827
ENSG00000004897	875	1627	1369	1717
ENSG00000004939	28	34	51	27
ENSG00000004948	0	2	4	2
ENSG00000004961	244	470	432	433
ENSG00000004975	317	359	263	479
ENSG00000005001	0	0	0	0
ENSG00000005007	1808	2014	1091	2111
ENSG00000005020	74	152	206	336
ENSG00000005022	682	1383	993	1810
ENSG00000005059	63	30	261	499
ENSG00000005073	0	0	0	0
ENSG00000005075	234	360	162	332
ENSG00000005100	221	205	173	314
ENSG00000005102	312	320	215	97
ENSG00000005108	78	139	96	289
ENSG00000005156	499	744	525	967
ENSG00000005175	211	309	386	375
ENSG00000005187	155	440	306	766
ENSG00000005189	38	70	73	35
ENSG00000005194	406	696	471	602
ENSG00000005206	342	471	372	595
ENSG00000005243	193	289	351	398
ENSG00000005249	306	626	946	1338
ENSG00000005302	193	235	200	284
ENSG00000005339	3295	3096	2458	4619
ENSG00000005379	223	687	324	349
ENSG00000005381	2	4	7	5
ENSG00000005421	2	3	2	4
ENSG00000005436	383	593	555	633
ENSG00000005448	23	30	7	85
ENSG00000005469	121	161	156	180
ENSG00000005471	77	186	281	177
ENSG00000005483	1425	1653	1633	3390
ENSG00000005486	408	682	550	1078
ENSG00000005513	23	27	46	40
ENSG00000005700	692	1392	1284	1644
ENSG00000005801	172	220	213	272
ENSG00000005810	2135	3333	3062	4532
ENSG00000005812	894	1214	1157	1748
ENSG00000005844	18	17	72	75
ENSG00000005882	4587	5740	3579	4300
ENSG00000005884	709	843	1206	2650
